#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 03 10 00 177 10.5 12.0 99.00 99.00 99.00 999 1012.7   2.2 999.0   0.5 99.0 99.00
2019 01 03 11 00 186 11.0 12.1 99.00 99.00 99.00 999 1011.2   2.8 999.0   1.5 99.0 99.00
2019 01 03 12 00 193 11.5 12.4 99.00 99.00 99.00 999 1010.8   3.4 999.0   1.6 99.0 99.00
2019 01 03 13 00 235  6.0  6.6 99.00 99.00 99.00 999 1011.3   2.4 999.0   1.5 99.0 99.00
2019 01 03 14 00 274  4.7  5.3 99.00 99.00 99.00 999 1011.3   1.2 999.0   1.2 99.0 99.00
2019 01 03 15 00 290  3.9  4.5 99.00 99.00 99.00 999 1011.1   1.0 999.0   0.5 99.0 99.00
2019 01 03 16 00 285  5.8  6.4 99.00 99.00 99.00 999 1009.7   0.9 999.0  -0.1 99.0 99.00
2019 01 03 17 00 301  4.8  5.4 99.00 99.00 99.00 999 1009.1   1.2 999.0  -0.3 99.0 99.00
2019 01 03 18 00 292  5.5  6.0 99.00 99.00 99.00 999 1008.8   2.1 999.0  -0.1 99.0 99.00
2019 01 03 19 00 304  8.2  9.3 99.00 99.00 99.00 999 1008.9   3.5 999.0  -0.4 99.0 99.00
2019 01 03 20 00 299  5.6  6.6 99.00 99.00 99.00 999 1010.0   3.7 999.0  -1.1 99.0 99.00
2019 01 03 21 00 298  6.7  7.5 99.00 99.00 99.00 999 1010.1   4.0 999.0  -2.0 99.0 99.00
2019 01 03 22 00 297  8.0  8.9 99.00 99.00 99.00 999 1011.2   3.7 999.0  -1.7 99.0 99.00
2019 01 03 23 00 300  8.3  9.4 99.00 99.00 99.00 999 1011.7   3.3 999.0  -2.5 99.0 99.00
2019 01 04 00 00 300  8.2  8.9 99.00 99.00 99.00 999 1012.3   2.9 999.0  -2.8 99.0 99.00
2019 01 04 01 00 281  7.6  8.4 99.00 99.00 99.00 999 1013.2   2.6 999.0  -2.3 99.0 99.00
2019 01 04 02 00 289  5.4  6.5 99.00 99.00 99.00 999 1013.4   2.7 999.0  -2.5 99.0 99.00
2019 01 04 03 00 272  5.4  6.1 99.00 99.00 99.00 999 1012.9   2.6 999.0  -2.4 99.0 99.00
2019 01 04 04 00 272  6.3  6.8 99.00 99.00 99.00 999 1012.8   2.5 999.0  -3.6 99.0 99.00
2019 01 04 05 00 251  8.5  9.6 99.00 99.00 99.00 999 1013.0   2.9 999.0  -3.7 99.0 99.00
2019 01 04 06 00 244  9.0  9.9 99.00 99.00 99.00 999 1013.3   2.9 999.0  -3.9 99.0 99.00
2019 01 04 07 00 251  8.6  9.5 99.00 99.00 99.00 999 1013.4   2.6 999.0  -3.8 99.0 99.00
2019 01 04 08 00 252  8.8  9.8 99.00 99.00 99.00 999 1013.4   2.6 999.0  -3.9 99.0 99.00
2019 01 04 09 00 253  7.8  8.6 99.00 99.00 99.00 999 1012.8   2.5 999.0  -4.0 99.0 99.00
2019 01 04 10 00 239  8.9 10.0 99.00 99.00 99.00 999 1012.4   2.5 999.0  -4.5 99.0 99.00
2019 01 04 11 00 226  8.6  9.1 99.00 99.00 99.00 999 1012.7   2.5 999.0  -3.3 99.0 99.00
2019 01 04 12 00 227 11.0 11.7 99.00 99.00 99.00 999 1012.8   2.6 999.0  -3.5 99.0 99.00
