#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 00 274  8.0  9.5 99.00 99.00 99.00 999 1014.0   4.7 999.0   0.2 99.0 99.00
2016 01 01 01 00 263  7.7  8.2 99.00 99.00 99.00 999 1014.1   4.6 999.0  -0.6 99.0 99.00
2016 01 01 02 00 261  7.2  8.0 99.00 99.00 99.00 999 1014.4   4.6 999.0  -0.7 99.0 99.00
2016 01 01 03 00 258  7.5  8.3 99.00 99.00 99.00 999 1014.2   4.3 999.0  -1.2 99.0 99.00
2016 01 01 04 00 260  7.1  7.7 99.00 99.00 99.00 999 1014.4   4.0 999.0  -1.4 99.0 99.00
2016 01 01 05 00 285 10.6 11.6 99.00 99.00 99.00 999 1013.2   3.6 999.0  -3.3 99.0 99.00
2016 01 01 06 00 261  7.2  7.9 99.00 99.00 99.00 999 1013.3   3.9 999.0  -2.2 99.0 99.00
2016 01 01 07 00 263  8.7  9.4 99.00 99.00 99.00 999 1013.3   3.8 999.0  -3.3 99.0 99.00
2016 01 01 08 00 254  7.9  9.0 99.00 99.00 99.00 999 1013.2   3.7 999.0  -2.1 99.0 99.00
2016 01 01 09 00 246  8.7  9.4 99.00 99.00 99.00 999 1012.7   3.4 999.0  -1.7 99.0 99.00
2016 01 01 10 00 253  9.3 10.8 99.00 99.00 99.00 999 1012.6   3.4 999.0  -1.8 99.0 99.00
2016 01 01 11 00 249  8.0  9.4 99.00 99.00 99.00 999 1012.6   3.3 999.0  -2.2 99.0 99.00
2016 01 01 12 00 256  8.4  9.5 99.00 99.00 99.00 999 1012.6   3.2 999.0  -2.2 99.0 99.00
2016 01 01 13 00 250  9.0  9.9 99.00 99.00 99.00 999 1012.7   3.2 999.0  -2.3 99.0 99.00
2016 01 01 14 00 248 10.2 11.2 99.00 99.00 99.00 999 1012.6   3.2 999.0  -3.1 99.0 99.00
2016 01 01 15 00 249  9.1 10.7 99.00 99.00 99.00 999 1012.9   3.4 999.0  -3.2 99.0 99.00
2016 01 01 16 00 252  8.1  9.4 99.00 99.00 99.00 999 1012.0   3.4 999.0  -3.6 99.0 99.00
2016 01 01 17 00 266  9.1 10.4 99.00 99.00 99.00 999 1011.3   4.1 999.0  -3.7 99.0 99.00
2016 01 01 18 00 256  8.3  9.7 99.00 99.00 99.00 999 1010.8   4.0 999.0  -4.6 99.0 99.00
